gene,cell_type
OLIG2,OPC
PDGFRA,OPC
CSPG4,OPC
PTPRZ1,OPC
ENPP6,OPC
LHFPL3,OPC
PCDH15,OPC
KCND2,OPC
NKX2-2,OPC
OLIG1,OPC
APOD,OPC
SOX10,Schwann
S100B,Schwann
MBP,Schwann
MPZ,Schwann
MAG,Schwann
PLP1,Schwann
SLC2A1,Schwann
GFAP,Schwann
CADM3,Schwann
CD44,Schwann
ITGA5,Schwann
SLC3A2,Schwann
ERBB3,Schwann
SLITRK6,Schwann
ALCAM,Schwann
BSG,Schwann
MCAM,Schwann
PMP22,Schwann
NCAM1,Schwann
L1CAM,Schwann
SCN7A,Schwann
NES,Schwann
NGFR,Schwann
TOP2A,Schwann
POU3F1,Schwann
EGR2,Schwann
DHH,Schwann
MBP,OL
MOG,OL
CNP,OL
GPR17,OL
BCAN,OL
TCF7L2,OL
OLIG1,OL
OLIG2,OL
GPC5,OL
GAP43,OL
MYRF,OL
PLP1,OL
CLDN11,OL
OPALIN,OL
