,names,scores,logfoldchanges,pvals,pvals_adj
0,DLC1,9.700944,5.285363,2.9872193289166956e-22,9.593454874815969e-18
1,GLIS3,9.5612755,6.6431656,1.1631376163524865e-21,1.8677082274580054e-17
2,SORCS2,9.369501,6.4311757,7.287628830084623e-21,3.9007033313027945e-17
3,ABCA8,9.333893,7.0132136,1.0205181754748166e-20,4.198872833128015e-17
4,GAS7,9.285009,6.1870503,1.6169284326532945e-20,5.769739623851173e-17
5,CDH19,9.026393,4.615228,1.7742297616620946e-19,3.7986259197185447e-16
6,SORBS1,8.932923,3.058434,4.148978544363463e-19,8.327777872014539e-16
7,SAMHD1,8.920952,3.455171,4.62298575241446e-19,8.73336396698767e-16
8,NEAT1,8.838992,4.9375916,9.658555501066634e-19,1.5509225495837748e-15
9,STARD13,8.792948,4.610678,1.4568572638290273e-18,2.1618398610717067e-15
10,NRXN3,8.607926,4.3900533,7.439403288685529e-18,7.717304708449112e-15
11,BCL2,8.528577,4.2258015,1.4815954821783657e-17,1.4869199659424444e-14
12,FOXO1,8.486599,4.0453596,2.1277183432371686e-17,2.0097551350900493e-14
13,MALAT1,8.3764,1.2472749,5.4571367932851355e-17,4.736647246387895e-14
14,RBMS3,8.348312,2.862472,6.924511057759045e-17,5.852122963682413e-14
15,LPAR1,8.289145,5.6075387,1.1406492483645225e-16,8.93462210029918e-14
16,VIM,8.246938,6.981526,1.6250448471818357e-16,1.1860980742555603e-13
17,INPP5F,8.165593,3.5394857,3.1985997784704056e-16,2.1400631642828558e-13
18,USP53,8.14587,6.062016,3.765624972025045e-16,2.4680213464609046e-13
19,GLUL,8.1312895,5.693718,4.2474611881677935e-16,2.6882332916916786e-13
20,LAMC1,8.071049,4.5827217,6.969703332632589e-16,4.3044619716826074e-13
21,KLHL29,8.056544,5.8478947,7.848143834603262e-16,4.667465541634884e-13
22,KCNMB4,7.9810314,5.331809,1.4511524451929105e-15,8.035131168512124e-13
23,PMP22,7.9594674,4.621737,1.7278121906954365e-15,9.404862458336262e-13
24,AHR,7.944273,5.0342274,1.9533319279794623e-15,1.0455209144510074e-12
25,LGI4,7.921174,6.764951,2.3527857872876636e-15,1.238683861618743e-12
26,ROBO2,7.85134,6.466291,4.116157604248388e-15,2.0336984840067226e-12
27,IQGAP2,7.8094397,6.0842924,5.7442876279044554e-15,2.795118138941691e-12
28,KIAA1217,7.661867,2.6593547,1.832491791988118e-14,8.407210557099774e-12
29,IL1RAPL2,7.625185,7.103041,2.4368451259678128e-14,1.1022433974712157e-11
30,PDE8A,7.573922,2.9826252,3.6212105841523584e-14,1.5715564582439593e-11
31,CHL1,7.504702,1.7935967,6.156840912932218e-14,2.5528425405097937e-11
32,ARHGEF26,7.5037813,4.092524,6.20027146690842e-14,2.5528425405097937e-11
33,CLIC4,7.466869,3.766575,8.212543070339217e-14,3.2968227587992997e-11
34,TXNIP,7.4427724,3.3155997,9.859382915223108e-14,3.814868461715543e-11
35,ITGA1,7.342856,6.810705,2.0908331852468116e-13,7.378803048813335e-11
36,SNTB1,7.3098574,6.350167,2.6742566478765636e-13,9.234812069522133e-11
37,PLPP1,7.2748637,3.4979792,3.4677005476734916e-13,1.172265295668781e-10
38,MAN2A1,7.2456255,3.9492283,4.3044757120464914e-13,1.410594260126256e-10
39,SPTBN1,7.243784,2.1654577,4.363366186262209e-13,1.4154495461799076e-10
40,ASAP2,7.224522,3.1621923,5.028676744883503e-13,1.614959536619337e-10
41,COL5A1,7.217155,5.2733974,5.308652208591299e-13,1.6879937195931641e-10
42,AKAP13,7.124145,2.8106306,1.0472865573744607e-12,3.1729818669887555e-10
43,SH3PXD2A,7.0406513,4.7715087,1.91343378778723e-12,5.536029377908728e-10
44,LAMA4,7.0249963,2.737135,2.140721520375425e-12,6.138327823826497e-10
45,DGKB,6.944265,2.7130184,3.804359328261652e-12,1.0442478617702817e-09
46,GPM6B,6.8719754,1.9818614,6.331895783330414e-12,1.7088137233752626e-09
47,ABCA6,6.864915,5.3357987,6.6530821953599875e-12,1.7658159892891406e-09
48,PGM2L1,6.81158,5.1135335,9.653239357104849e-12,2.500111144785663e-09
49,RARB,6.806362,5.154701,1.000977062140798e-11,2.571710268052138e-09
50,ARHGAP29,6.8032155,7.2293606,1.023093857584916e-11,2.6076713679634586e-09
51,CNTN4,6.772826,2.9805582,1.2629059468591518e-11,3.1686112877641925e-09
52,SIPA1L2,6.7499576,3.1485038,1.4788844833871847e-11,3.653413475690726e-09
53,FNDC3B,6.7481155,2.6786478,1.4977745055082752e-11,3.671834217129638e-09
54,MAML3,6.7372184,5.1029615,1.614472379468984e-11,3.898404546364393e-09
55,BMPR1B,6.6881046,6.0359244,2.260796443727693e-11,5.261266506544555e-09
56,SPARC,6.6839604,5.7589707,2.3256947354092017e-11,5.373358735803346e-09
57,ARAP2,6.636688,2.4003568,3.208091210285833e-11,7.105368911608933e-09
58,BOC,6.5775213,4.1923103,4.7835569826534114e-11,1.0241595499860954e-08
59,MAP3K4,6.562403,2.5827708,5.294738526049368e-11,1.1260962103581156e-08
60,NRXN1,6.5578756,1.2621031,5.457971776063949e-11,1.1531760762387744e-08
61,ERBIN,6.551199,2.409916,5.7076885905631847e-11,1.1980550267054684e-08
62,NIBAN1,6.481902,6.746884,9.057329080792582e-11,1.864590534805473e-08
63,ADAMTS9-AS2,6.4766073,2.9607723,9.380798585637327e-11,1.9188811883932657e-08
64,AKAP12,6.4653263,2.6605163,1.0108045059682247e-10,2.0416343842244993e-08
65,LMO3,6.453355,2.838497,1.0940085113877269e-10,2.1958802089510532e-08
66,GINS3,6.3773046,4.0010366,1.802316202242766e-10,3.5293527338430747e-08
67,EPHA3,6.3604217,5.7101264,2.0120049154237681e-10,3.916093203565716e-08
68,GAB1,6.35528,1.9575624,2.0804709603136568e-10,4.024959330751391e-08
69,ARHGAP24,6.300871,3.0829039,2.9597763978292855e-10,5.624450829366125e-08
70,MAP4,6.291662,2.2946262,3.140845421204491e-10,5.8987281112270304e-08
71,CLU,6.26534,5.2079897,3.720126395356165e-10,6.94603832481763e-08
72,STK3,6.2549033,2.8503501,3.9776220125158564e-10,7.299504624682669e-08
73,ANK2,6.2476897,1.6738285,4.1656817365258206e-10,7.558241184662526e-08
74,SEMA4B,6.155678,4.4531903,7.475715467202561e-10,1.3191351770835726e-07
75,FNDC3A,6.142785,1.954761,8.108691039661149e-10,1.415275069232162e-07
76,SLC35F1,6.132579,1.6305296,8.646592239425668e-10,1.492931772952448e-07
77,CEP85L,6.1166167,2.0628498,9.558294846342696e-10,1.6156033631068194e-07
78,PRIMA1,6.104108,4.710283,1.0337644695494416e-09,1.7381856512869275e-07
79,CD9,6.056759,4.24107,1.3889154024941026e-09,2.284464136591035e-07
80,GAREM1,6.0561447,3.2462842,1.394223791909833e-09,2.284464136591035e-07
81,GALNT15,6.0095634,5.265264,1.8602366154099558e-09,2.957499945737165e-07
82,APP,6.0076447,1.5811635,1.8823762826106654e-09,2.9779563702483504e-07
83,CLMN,5.996978,4.258345,2.010234304368385e-09,3.164640915921112e-07
84,ITGB4,5.9814763,3.8528068,2.2112428919675994e-09,3.4641007549043636e-07
85,SSBP2,5.942415,2.0924587,2.8085286691319704e-09,4.336341260056405e-07
86,NEDD4L,5.933897,4.7565002,2.9582739718714354e-09,4.5240461241262453e-07
87,C1orf21,5.901129,1.8296787,3.610230062465638e-09,5.46898766302283e-07
