Query Name	Rank	Scaled Rank	Set_name	TF	Intersect	Set length	FET p-value	FDR	Odds Ratio	Library	Overlapping_Genes
"gene_set_query"	"1"	"6.223E-4"	"FOXD3"	"FOXD3"	"29"	"299"	"3.11E-26"	"5.0E-23"	"21.37"	"GTEx--Coexpression"	"SPARC,ADAMTS9-AS2,AHR,PRIMA1,USP53,ARHGEF26,KCNMB4,SPTBN1,KLHL29,STARD13,ABCA6,ABCA8,L1CAM,GULP1,ITGB4,CAB39L,SIPA1L2,SH3PXD2A,CHL1,GAB1,SORCS2,CDH19,RBMS3,NRXN1,SAMHD1,EHBP1,LGI4,PMP22,VIM"
"gene_set_query"	"2"	"0.001245"	"SOX10"	"SOX10"	"24"	"298"	"2.766E-20"	"2.22E-17"	"17.43"	"GTEx--Coexpression"	"AHR,PRIMA1,USP53,ARHGEF26,LPAR1,KCNMB4,MAP4,SPTBN1,GPM6B,STARD13,ABCA8,ITGB4,CAB39L,SLC35F1,SH3PXD2A,CHL1,GAB1,SORCS2,CDH19,NRXN1,SAMHD1,EHBP1,LGI4,PMP22"
"gene_set_query"	"3"	"0.001867"	"AHR"	"AHR"	"23"	"300"	"4.567E-19"	"2.45E-16"	"16.52"	"GTEx--Coexpression"	"SPARC,PRIMA1,USP53,CNN3,SPTBN1,STARD13,ABCA6,ARHGAP29,ABCA8,GULP1,ITGB4,SH3PXD2A,CHL1,GAB1,CDH19,RBMS3,LAMA4,SAMHD1,EHBP1,LGI4,DLC1,PMP22,VIM"
"gene_set_query"	"4"	"0.002489"	"GLI1"	"GLI1"	"21"	"299"	"7.609E-17"	"3.06E-14"	"15.03"	"GTEx--Coexpression"	"SPARC,AHR,PRIMA1,WSB1,USP53,SPTBN1,STARD13,ABCA8,GULP1,ITGB4,SH3PXD2A,CHL1,GAB1,SORCS2,CDH19,RBMS3,SAMHD1,EHBP1,LGI4,PMP22,VIM"
"gene_set_query"	"5"	"0.003111"	"EGR2"	"EGR2"	"20"	"300"	"1.021E-15"	"2.73E-13"	"14.21"	"GTEx--Coexpression"	"SPARC,AHR,PRIMA1,WSB1,USP53,SPTBN1,STARD13,ABCA6,ABCA8,BCL2,ITGB4,SH3PXD2A,CHL1,CDH19,RBMS3,SAMHD1,EHBP1,LGI4,PMP22,VIM"
"gene_set_query"	"6"	"0.003734"	"FOXD2"	"FOXD2"	"20"	"300"	"1.021E-15"	"2.73E-13"	"14.21"	"GTEx--Coexpression"	"SPARC,ADAMTS9-AS2,AHR,PRIMA1,USP53,STARD13,ABCA8,GULP1,CNTN4,CLIC4,ITGB4,SH3PXD2A,GAB1,CDH19,RBMS3,SAMHD1,EHBP1,LGI4,PMP22,VIM"
"gene_set_query"	"7"	"0.004356"	"EBF2"	"EBF2"	"19"	"299"	"1.156E-14"	"2.65E-12"	"13.5"	"GTEx--Coexpression"	"SPARC,AHR,USP53,FOXO1,SPTBN1,STARD13,ABCA6,ARHGAP29,ABCA8,LAMC1,CDH19,RBMS3,LAMA4,SAMHD1,EHBP1,LGI4,DLC1,PMP22,VIM"
"gene_set_query"	"8"	"0.004978"	"SOX13"	"SOX13"	"18"	"299"	"1.331E-13"	"2.38E-11"	"12.75"	"GTEx--Coexpression"	"GALNT15,ADAMTS9-AS2,AHR,WSB1,COL4A2,PLPP1,USP53,FOXO1,STARD13,ABCA6,ARHGAP29,GULP1,CLIC4,CAB39L,RBMS3,SAMHD1,LGI4,PMP22"
"gene_set_query"	"9"	"0.0056"	"FOXE3"	"FOXE3"	"18"	"299"	"1.331E-13"	"2.38E-11"	"12.75"	"GTEx--Coexpression"	"GLUL,PRIMA1,USP53,KCNMB4,SPTBN1,L1CAM,DAB1,BMPR1B,ITGB4,CHL1,SORCS2,GAS7,CDH19,NRXN1,NRXN3,EHBP1,LGI4,PMP22"
"gene_set_query"	"10"	"0.006223"	"MEOX2"	"MEOX2"	"17"	"299"	"1.46E-12"	"2.13E-10"	"12.0"	"GTEx--Coexpression"	"SPARC,ADAMTS9-AS2,AHR,USP53,SPTBN1,STARD13,ABCA6,ARHGAP29,ABCA8,GAB1,RBMS3,LAMA4,EHBP1,LGI4,DLC1,PMP22,VIM"
