id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	AS|AS	AS|BC	AS|EC	AS|MG	AS|NEU	AS|OL	AS|OPC	AS|OPC_Schwann_primed	AS|SC	AS|TC	BC|AS	BC|BC	BC|EC	BC|MG	BC|NEU	BC|OL	BC|OPC	BC|OPC_Schwann_primed	BC|SC	BC|TC	EC|AS	EC|BC	EC|EC	EC|MG	EC|NEU	EC|OL	EC|OPC	EC|OPC_Schwann_primed	EC|SC	EC|TC	MG|AS	MG|BC	MG|EC	MG|MG	MG|NEU	MG|OL	MG|OPC	MG|OPC_Schwann_primed	MG|SC	MG|TC	NEU|AS	NEU|BC	NEU|EC	NEU|MG	NEU|NEU	NEU|OL	NEU|OPC	NEU|OPC_Schwann_primed	NEU|SC	NEU|TC	OL|AS	OL|BC	OL|EC	OL|MG	OL|NEU	OL|OL	OL|OPC	OL|OPC_Schwann_primed	OL|SC	OL|TC	OPC|AS	OPC|BC	OPC|EC	OPC|MG	OPC|NEU	OPC|OL	OPC|OPC	OPC|OPC_Schwann_primed	OPC|SC	OPC|TC	OPC_Schwann_primed|AS	OPC_Schwann_primed|BC	OPC_Schwann_primed|EC	OPC_Schwann_primed|MG	OPC_Schwann_primed|NEU	OPC_Schwann_primed|OL	OPC_Schwann_primed|OPC	OPC_Schwann_primed|OPC_Schwann_primed	OPC_Schwann_primed|SC	OPC_Schwann_primed|TC	SC|AS	SC|BC	SC|EC	SC|MG	SC|NEU	SC|OL	SC|OPC	SC|OPC_Schwann_primed	SC|SC	SC|TC	TC|AS	TC|BC	TC|EC	TC|MG	TC|NEU	TC|OL	TC|OPC	TC|OPC_Schwann_primed	TC|SC	TC|TC
CPI-SC0A2DB962D	CDH1_integrin_a2b1_complex	simple:P12830	complex:integrin_a2b1_complex	CDH1		False	False	False	curated	True	Adhesion-Adhesion	Adhesion by Cadherin	0.071	0.027	0.119	0.005	0.016	0.092	0.011	0.09	0.021	0.023	0.075	0.03	0.123	0.009	0.02	0.095	0.014	0.094	0.024	0.026	0.07	0.025	0.118	0.004	0.015	0.09	0.009	0.089	0.019	0.021	0.07	0.026	0.119	0.004	0.015	0.091	0.01	0.09	0.02	0.022	0.07	0.026	0.119	0.005	0.015	0.091	0.01	0.09	0.02	0.022	0.093	0.049	0.142	0.027	0.038	0.114	0.033	0.112	0.043	0.045	0.07	0.026	0.119	0.005	0.016	0.091	0.01	0.09	0.02	0.022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.069	0.025	0.118	0.003	0.014	0.09	0.009	0.089	0.019	0.021	0.07	0.026	0.119	0.004	0.015	0.091	0.01	0.089	0.02	0.022
CPI-SC0B5CEA47D	COL10A1_integrin_a2b1_complex	simple:Q03692	complex:integrin_a2b1_complex	COL10A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.071	0.027	0.119	0.005	0.016	0.092	0.011	0.09	0.021	0.023	0.073	0.029	0.121	0.007	0.018	0.094	0.013	0.092	0.022	0.025	0.072	0.028	0.121	0.007	0.018	0.093	0.012	0.092	0.022	0.024	0.071	0.026	0.119	0.005	0.016	0.091	0.011	0.09	0.02	0.023	0.08	0.035	0.128	0.014	0.025	0.1	0.019	0.099	0.029	0.031	0.08	0.036	0.129	0.014	0.025	0.101	0.02	0.1	0.03	0.032	0.07	0.025	0.118	0.004	0.015	0.09	0.01	0.089	0.019	0.022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.075	0.03	0.123	0.009	0.02	0.095	0.014	0.094	0.024	0.026	0.078	0.034	0.126	0.012	0.023	0.098	0.018	0.097	0.027	0.03
CPI-SC0C8B7BCBB	COL11A1_integrin_a2b1_complex	simple:P12107	complex:integrin_a2b1_complex	COL11A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.123	0.079	0.172	0.057	0.068	0.144	0.063	0.143	0.073	0.075	0.076	0.031	0.124	0.01	0.021	0.096	0.015	0.095	0.025	0.027	0.075	0.031	0.123	0.009	0.02	0.095	0.015	0.094	0.024	0.027	0.07	0.025	0.118	0.004	0.015	0.09	0.009	0.089	0.019	0.021	0.114	0.069	0.162	0.048	0.059	0.134	0.053	0.133	0.063	0.066	0.071	0.027	0.119	0.005	0.016	0.092	0.011	0.09	0.021	0.023	0.555	0.51	0.603	0.489	0.5	0.575	0.494	0.574	0.504	0.506	0.109	0.065	0.157	0.043	0.054	0.13	0.049	0.128	0.059	0.061	0.345	0.301	0.393	0.279	0.29	0.366	0.285	0.364	0.295	0.297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC0D3C12C3F	COL11A2_integrin_a2b1_complex	simple:P13942	complex:integrin_a2b1_complex	COL11A2		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.072	0.028	0.121	0.006	0.017	0.093	0.012	0.091	0.022	0.024	0.07	0.025	0.118	0.004	0.015	0.09	0.009	0.089	0.019	0.021	0.07	0.025	0.118	0.004	0.015	0.09	0.009	0.089	0.019	0.021	0.07	0.025	0.118	0.004	0.015	0.09	0.009	0.089	0.019	0.021	0.072	0.028	0.121	0.006	0.017	0.093	0.012	0.092	0.022	0.024	0.075	0.031	0.123	0.009	0.02	0.096	0.015	0.094	0.025	0.027	0.076	0.031	0.124	0.01	0.021	0.096	0.015	0.095	0.025	0.027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.026	0.118	0.004	0.015	0.091	0.01	0.089	0.02	0.022
CPI-SC0B86B7CED	COL12A1_integrin_a2b1_complex	simple:Q99715	complex:integrin_a2b1_complex	COL12A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.071	0.026	0.119	0.005	0.016	0.091	0.01	0.09	0.02	0.022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.078	0.034	0.127	0.012	0.023	0.099	0.018	0.097	0.028	0.03	0.069	0.025	0.118	0.003	0.014	0.09	0.009	0.088	0.019	0.021	0.101	0.057	0.15	0.035	0.046	0.122	0.041	0.12	0.051	0.053	0.069	0.025	0.117	0.003	0.014	0.09	0.009	0.088	0.018	0.021	0.089	0.045	0.138	0.023	0.034	0.11	0.029	0.109	0.039	0.041	0.333	0.289	0.381	0.267	0.278	0.353	0.273	0.352	0.282	0.285	0.415	0.37	0.463	0.349	0.36	0.435	0.354	0.434	0.364	0.366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC0FA343CEF	COL13A1_integrin_a2b1_complex	simple:Q5TAT6	complex:integrin_a2b1_complex	COL13A1		False	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.07	0.026	0.118	0.004	0.015	0.091	0.01	0.089	0.02	0.022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.072	0.027	0.12	0.006	0.017	0.092	0.011	0.091	0.021	0.024	0.07	0.025	0.118	0.004	0.015	0.09	0.009	0.089	0.019	0.021	0.07	0.026	0.118	0.004	0.015	0.091	0.01	0.089	0.02	0.022	0.069	0.025	0.117	0.003	0.014	0.09	0.009	0.088	0.019	0.021	0.069	0.025	0.118	0.003	0.014	0.09	0.009	0.089	0.019	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.197	0.153	0.246	0.131	0.142	0.218	0.137	0.217	0.147	0.149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC0CCCF9A7F	COL14A1_integrin_a2b1_complex	simple:Q05707	complex:integrin_a2b1_complex	COL14A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.079	0.034	0.127	0.013	0.024	0.099	0.018	0.098	0.028	0.03	0.081	0.037	0.129	0.015	0.026	0.102	0.021	0.1	0.03	0.033	0.092	0.048	0.141	0.027	0.038	0.113	0.032	0.112	0.042	0.044	0.074	0.03	0.122	0.008	0.019	0.094	0.014	0.093	0.023	0.026	0.077	0.032	0.125	0.011	0.022	0.097	0.016	0.096	0.026	0.028	0.091	0.046	0.139	0.025	0.036	0.111	0.03	0.11	0.04	0.043	0.072	0.028	0.121	0.006	0.017	0.093	0.012	0.091	0.022	0.024	0.104	0.06	0.152	0.038	0.049	0.124	0.044	0.123	0.053	0.056	0.092	0.047	0.14	0.026	0.037	0.112	0.031	0.111	0.041	0.043	0.071	0.026	0.119	0.005	0.016	0.091	0.01	0.09	0.02	0.022
CPI-SC0E85E1FB0	COL15A1_integrin_a2b1_complex	simple:P39059	complex:integrin_a2b1_complex	COL15A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.07	0.025	0.118	0.004	0.015	0.09	0.009	0.089	0.019	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.073	0.029	0.121	0.007	0.018	0.094	0.013	0.092	0.023	0.025	0.074	0.03	0.122	0.008	0.019	0.095	0.014	0.093	0.024	0.026	0.07	0.026	0.118	0.004	0.015	0.091	0.01	0.089	0.02	0.022	0.069	0.025	0.117	0.003	0.014	0.09	0.009	0.088	0.019	0.021	0.082	0.037	0.13	0.016	0.027	0.102	0.021	0.101	0.031	0.033	0.111	0.066	0.159	0.045	0.056	0.131	0.05	0.13	0.06	0.062	0.311	0.267	0.36	0.245	0.256	0.332	0.251	0.331	0.261	0.263	0.07	0.025	0.118	0.004	0.015	0.09	0.009	0.089	0.019	0.021
CPI-SC0956F4A31	COL16A1_integrin_a2b1_complex	simple:Q07092	complex:integrin_a2b1_complex	COL16A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.152	0.108	0.2	0.086	0.097	0.172	0.092	0.171	0.101	0.104	0.072	0.028	0.121	0.006	0.017	0.093	0.012	0.092	0.022	0.024	0.072	0.028	0.12	0.006	0.017	0.093	0.012	0.091	0.022	0.024	0.069	0.025	0.118	0.003	0.014	0.09	0.009	0.089	0.019	0.021	0.083	0.039	0.131	0.017	0.028	0.104	0.023	0.102	0.033	0.035	0.126	0.081	0.174	0.06	0.071	0.146	0.065	0.145	0.075	0.077	0.175	0.13	0.223	0.109	0.12	0.195	0.114	0.194	0.124	0.126	0.309	0.265	0.357	0.243	0.254	0.33	0.249	0.328	0.259	0.261	0.099	0.054	0.147	0.033	0.044	0.119	0.039	0.118	0.048	0.051	0.072	0.028	0.121	0.006	0.017	0.093	0.012	0.092	0.022	0.024
CPI-SC06EEEC092	COL17A1_integrin_a2b1_complex	simple:Q9UMD9	complex:integrin_a2b1_complex	COL17A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.069	0.025	0.118	0.004	0.015	0.09	0.009	0.089	0.019	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.069	0.025	0.117	0.003	0.014	0.09	0.009	0.088	0.019	0.021	0.069	0.025	0.117	0.003	0.014	0.09	0.009	0.088	0.019	0.021	0.069	0.025	0.117	0.003	0.014	0.09	0.009	0.088	0.019	0.021	0.069	0.025	0.118	0.003	0.014	0.09	0.009	0.088	0.019	0.021	0.069	0.025	0.118	0.003	0.014	0.09	0.009	0.088	0.019	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.069	0.025	0.118	0.003	0.014	0.09	0.009	0.089	0.019	0.021
