Query Name	Rank	Scaled Rank	Set_name	TF	Intersect	Set length	FET p-value	FDR	Odds Ratio	Library	Overlapping_Genes
"gene_set_query"	"1"	"7.123E-4"	"OLIG1"	"OLIG1"	"22"	"295"	"9.351E-19"	"1.31E-15"	"17.44"	"Enrichr--Queries"	"PLEKHB1,PTGDS,BCAS1,GPR37,PLLP,APLP1,SOX10,CLDN11,RHOU,MAPT,LPAR1,MOBP,SPOCK1,APOD,TSPAN2,MOG,WSCD1,CMTM5,TUBB4A,FA2H,SYT11,PLP1"
"gene_set_query"	"2"	"0.001425"	"SOX10"	"SOX10"	"21"	"296"	"1.427E-17"	"1.0E-14"	"16.52"	"Enrichr--Queries"	"PLEKHB1,PTGDS,BCAS1,GPR37,PLLP,CLDN11,RHOU,MAPT,MYRF,KCNA1,LPAR1,MOBP,APOD,PLEKHH1,MOG,CMTM5,TUBB4A,FA2H,NFASC,GJB1,PLP1"
"gene_set_query"	"3"	"0.002137"	"OLIG2"	"OLIG2"	"19"	"294"	"2.248E-15"	"1.05E-12"	"14.95"	"Enrichr--Queries"	"PLEKHB1,GRM3,PPP1R16B,GPR37,PLLP,SOX10,CLDN11,RHOU,MAPT,LPAR1,MOBP,MAP7,SPOCK1,APOD,MOG,WSCD1,CMTM5,TUBB4A,PLP1"
"gene_set_query"	"4"	"0.002849"	"SOX8"	"SOX8"	"14"	"297"	"4.809E-10"	"1.69E-7"	"10.7"	"Enrichr--Queries"	"PLEKHB1,PTGDS,PPP1R16B,GPR37,PLLP,SOX10,SYTL2,CLDN11,RHOU,LPAR1,SPOCK1,APOD,TUBB4A,PLP1"
"gene_set_query"	"5"	"0.003561"	"ST18"	"ST18"	"12"	"297"	"4.022E-8"	"1.13E-5"	"9.111"	"Enrichr--Queries"	"EDIL3,ANKS1B,GPR37,ERMN,CLDN11,LPAR1,SPOCK3,SPOCK1,PCDH9,PEX5L,NFASC,PLP1"
"gene_set_query"	"6"	"0.004274"	"ZNF488"	"ZNF488"	"10"	"293"	"2.232E-6"	"4.9E-4"	"7.646"	"Enrichr--Queries"	"PLLP,LIMCH1,SYTL2,CLDN11,RHOU,LPAR1,KLK6,UGT8,SPOCK1,FA2H"
"gene_set_query"	"7"	"0.004986"	"ZNF804B"	"ZNF804B"	"10"	"296"	"2.441E-6"	"4.9E-4"	"7.566"	"Enrichr--Queries"	"GRM3,PDE4B,EDIL3,ANKS1B,SLC24A2,LPAR1,NKAIN2,SPOCK3,NCAM2,PCDH9"
"gene_set_query"	"8"	"0.005698"	"ZNF662"	"ZNF662"	"9"	"293"	"1.577E-5"	"0.00199"	"6.857"	"Enrichr--Queries"	"PDE4B,LIMCH1,SYTL2,CLDN11,RHOU,LPAR1,SPOCK1,PCDH9,NFASC"
"gene_set_query"	"9"	"0.00641"	"RORB"	"RORB"	"9"	"297"	"1.753E-5"	"0.00199"	"6.762"	"Enrichr--Queries"	"PDE4B,EDIL3,ANKS1B,ARAP2,SLC24A2,LPAR1,SPOCK1,NCAM2,PCDH9"
"gene_set_query"	"10"	"0.007123"	"ZNF536"	"ZNF536"	"9"	"297"	"1.753E-5"	"0.00199"	"6.762"	"Enrichr--Queries"	"EDIL3,ANKS1B,GPR37,LPAR1,SPOCK3,SPOCK1,PCDH9,NFASC,PLP1"
"gene_set_query"	"11"	"0.007835"	"ZNF483"	"ZNF483"	"9"	"298"	"1.8E-5"	"0.00199"	"6.739"	"Enrichr--Queries"	"PLEKHB1,EDIL3,SYTL2,DNM3,LPAR1,UGT8,NCAM2,PCDH9,NFASC"
"gene_set_query"	"12"	"0.008547"	"ZNF385C"	"ZNF385C"	"9"	"298"	"1.8E-5"	"0.00199"	"6.739"	"Enrichr--Queries"	"PLEKHB1,BCAS1,RHOU,MYRF,LPAR1,NKAIN1,PLEKHH1,TUBB4A,FA2H"
"gene_set_query"	"13"	"0.009259"	"SCRT1"	"SCRT1"	"9"	"299"	"1.847E-5"	"0.00199"	"6.716"	"Enrichr--Queries"	"STMN4,APLP1,MAPT,SEMA7A,KCNA1,LPAR1,SPOCK1,NFASC,PPP2R2C"
"gene_set_query"	"14"	"0.009972"	"FOXD4L6"	"FOXD4L6"	"8"	"293"	"1.012E-4"	"0.00906"	"6.074"	"Enrichr--Queries"	"GRM3,EDIL3,ARAP2,RHOU,LPAR1,NKAIN1,EYA4,NFASC"
"gene_set_query"	"15"	"0.01068"	"ARNT2"	"ARNT2"	"8"	"296"	"1.085E-4"	"0.00906"	"6.011"	"Enrichr--Queries"	"PDE4B,LIMCH1,SYTL2,LPAR1,SPOCK1,PCDH9,PPP2R2C,SYT11"
"gene_set_query"	"16"	"0.0114"	"ZNF365"	"ZNF365"	"8"	"297"	"1.11E-4"	"0.00906"	"5.99"	"Enrichr--Queries"	"LIMCH1,SYTL2,DNM3,LPAR1,SPOCK1,TSPAN2,PCDH9,SYT11"
"gene_set_query"	"17"	"0.01211"	"MYT1L"	"MYT1L"	"8"	"298"	"1.136E-4"	"0.00906"	"5.969"	"Enrichr--Queries"	"ANKS1B,MAPT,SLC24A2,LPAR1,SPOCK1,PCDH9,NFASC,PPP2R2C"
"gene_set_query"	"18"	"0.01282"	"ZNF385D"	"ZNF385D"	"8"	"299"	"1.162E-4"	"0.00906"	"5.949"	"Enrichr--Queries"	"PDE4B,EDIL3,ANKS1B,LPAR1,SPOCK3,SPOCK1,NCAM2,PCDH9"
"gene_set_query"	"19"	"0.01353"	"ZNF439"	"ZNF439"	"7"	"295"	"6.076E-4"	"0.0249"	"5.26"	"Enrichr--Queries"	"PDE4B,PLEKHG1,SYTL2,LPAR1,TSPAN2,PCDH9,SYT11"
"gene_set_query"	"20"	"0.01425"	"PRDM16"	"PRDM16"	"7"	"295"	"6.076E-4"	"0.0249"	"5.26"	"Enrichr--Queries"	"PDE4B,PLEKHG1,LIMCH1,MAPT,LPAR1,PCDH9,NFASC"
"gene_set_query"	"21"	"0.01496"	"TIGD4"	"TIGD4"	"7"	"295"	"6.076E-4"	"0.0249"	"5.26"	"Enrichr--Queries"	"PDE4B,PLS1,TMOD1,LIMCH1,LPAR1,TSPAN2,PLEKHH1"
"gene_set_query"	"22"	"0.01567"	"PROX1"	"PROX1"	"7"	"296"	"6.197E-4"	"0.0249"	"5.241"	"Enrichr--Queries"	"EDIL3,LIMCH1,RHOU,LPAR1,CLMN,PCDH9,NFASC"
"gene_set_query"	"23"	"0.01638"	"PRDM8"	"PRDM8"	"7"	"296"	"6.197E-4"	"0.0249"	"5.241"	"Enrichr--Queries"	"PDE4B,SYTL2,RHOU,SEMA7A,LPAR1,SPOCK1,TSPAN2"
"gene_set_query"	"24"	"0.01709"	"ZNF391"	"ZNF391"	"7"	"296"	"6.197E-4"	"0.0249"	"5.241"	"Enrichr--Queries"	"PDE4B,PLEKHG1,SYTL2,LPAR1,TSPAN2,PCDH9,TTLL7"
"gene_set_query"	"25"	"0.01781"	"ZNF300"	"ZNF300"	"7"	"296"	"6.197E-4"	"0.0249"	"5.241"	"Enrichr--Queries"	"PDE4B,SYTL2,RHOU,LPAR1,SPOCK1,PCDH9,SYT11"
"gene_set_query"	"26"	"0.01852"	"DPF3"	"DPF3"	"7"	"296"	"6.197E-4"	"0.0249"	"5.241"	"Enrichr--Queries"	"PDE4B,LIMCH1,MAPT,LPAR1,CLMN,SPOCK1,PCDH9"
"gene_set_query"	"27"	"0.01923"	"SIM2"	"SIM2"	"7"	"297"	"6.32E-4"	"0.0249"	"5.223"	"Enrichr--Queries"	"LIMCH1,RHOU,LPAR1,SPOCK1,APOD,EYA4,PPP2R2C"
"gene_set_query"	"28"	"0.01994"	"NPAS3"	"NPAS3"	"7"	"297"	"6.32E-4"	"0.0249"	"5.223"	"Enrichr--Queries"	"PDE4B,ANKS1B,LIMCH1,LPAR1,SPOCK1,PCDH9,EYA4"
"gene_set_query"	"29"	"0.02066"	"DMRTA1"	"DMRTA1"	"7"	"297"	"6.32E-4"	"0.0249"	"5.223"	"Enrichr--Queries"	"PDE4B,EDIL3,LIMCH1,SYTL2,LPAR1,SPOCK1,PCDH9"
"gene_set_query"	"30"	"0.02137"	"ZNF528"	"ZNF528"	"7"	"297"	"6.32E-4"	"0.0249"	"5.223"	"Enrichr--Queries"	"PDE4B,EDIL3,SYTL2,LPAR1,SPOCK1,PCDH9,SYT11"
"gene_set_query"	"31"	"0.02208"	"ZNF354C"	"ZNF354C"	"7"	"297"	"6.32E-4"	"0.0249"	"5.223"	"Enrichr--Queries"	"EDIL3,SYTL2,CLDN11,LPAR1,UGT8,SPOCK1,SYT11"
"gene_set_query"	"32"	"0.02279"	"CBLL2"	"CBLL2"	"7"	"298"	"6.445E-4"	"0.0249"	"5.205"	"Enrichr--Queries"	"ANO4,SLC24A2,LPAR1,NKAIN2,SPOCK1,HS3ST1,NFASC"
"gene_set_query"	"33"	"0.0235"	"ZNF491"	"ZNF491"	"7"	"298"	"6.445E-4"	"0.0249"	"5.205"	"Enrichr--Queries"	"PDE4B,SYTL2,MYRF,LPAR1,PCDH9,TTLL7,SYT11"
"gene_set_query"	"34"	"0.02422"	"ZNF540"	"ZNF540"	"7"	"298"	"6.445E-4"	"0.0249"	"5.205"	"Enrichr--Queries"	"FAM13C,ANKS1B,SYTL2,DNM3,MAPT,LPAR1,PCDH9"
"gene_set_query"	"35"	"0.02493"	"ZNF415"	"ZNF415"	"7"	"298"	"6.445E-4"	"0.0249"	"5.205"	"Enrichr--Queries"	"EDIL3,LIMCH1,SYTL2,LPAR1,MAP7,SPOCK1,PCDH9"
"gene_set_query"	"36"	"0.02564"	"DACH2"	"DACH2"	"7"	"299"	"6.571E-4"	"0.0249"	"5.187"	"Enrichr--Queries"	"EDIL3,ANKS1B,LPAR1,NKAIN2,SPOCK3,NCAM2,PCDH9"
