Query Name	Rank	Scaled Rank	Set_name	TF	Intersect	Set length	FET p-value	FDR	Odds Ratio	Library	Overlapping_Genes
"gene_set_query"	"1"	"6.223E-4"	"EGR2"	"EGR2"	"32"	"300"	"6.658E-24"	"1.07E-20"	"14.1"	"GTEx--Coexpression"	"PROS1,ARHGAP39,AHR,MPZ,PHLDA3,POU3F1,FRMD8,MXRA8,KANK4,DHH,ITPR3,WNT6,EPB41L2,HSPA12A,NES,ITGB4,AATK,TGIF2,SECISBP2L,ITGA6,EGFL8,MATN2,RBMS3,PLEC,AHNAK,SH3TC2,LMNA,ERBB2,CTNNA1,SCN7A,PLEKHA4,VIM"
"gene_set_query"	"2"	"0.001245"	"AHR"	"AHR"	"30"	"300"	"9.284E-22"	"7.46E-19"	"13.12"	"GTEx--Coexpression"	"IFITM3,PROS1,MPZ,PHLDA3,FRMD8,MXRA8,KANK4,DHH,WNT6,EPB41L2,ADGRG6,S100A10,HSPA12A,ITGB4,AATK,SECISBP2L,RHOA,ITGA6,EGFL8,MATN2,RBMS3,PLEC,AHNAK,LMNA,CTNNA1,SCN7A,LAMB1,PLEKHA4,DLC1,VIM"
"gene_set_query"	"3"	"0.001867"	"FOXD3"	"FOXD3"	"29"	"299"	"9.544E-21"	"5.11E-18"	"12.68"	"GTEx--Coexpression"	"PROS1,ARHGAP39,AHR,OLFML2A,MPZ,PHLDA3,FRMD8,MXRA8,KANK4,DHH,WNT6,EPB41L2,HSPA12A,CUEDC2,ITGB4,AATK,SECISBP2L,SORCS2,ITGA6,EGFL8,MATN2,RBMS3,PLEC,AHNAK,SH3TC2,CTNNA1,SCN7A,PLEKHA4,VIM"
"gene_set_query"	"4"	"0.002489"	"GLI1"	"GLI1"	"27"	"299"	"1.108E-18"	"4.45E-16"	"11.72"	"GTEx--Coexpression"	"PROS1,ARHGAP39,AHR,MPZ,PHLDA3,FRMD8,MXRA8,KANK4,DHH,WNT6,EPB41L2,HSPA12A,CUEDC2,ITGB4,AATK,SECISBP2L,SORCS2,ITGA6,EGFL8,MATN2,RBMS3,PLEC,AHNAK,SH3TC2,SCN7A,PLEKHA4,VIM"
"gene_set_query"	"5"	"0.003111"	"SOX10"	"SOX10"	"26"	"298"	"1.045E-17"	"3.04E-15"	"11.28"	"GTEx--Coexpression"	"ARHGAP39,AHR,MPZ,PHLDA3,KANK4,DHH,LPAR1,WNT6,EPB41L2,HSPA12A,IGSF11,CUEDC2,ITGB4,AATK,SECISBP2L,SORCS2,ZEB2,ITGA6,PMP2,EGFL8,PLEC,AHNAK,SH3TC2,SCN7A,PLEKHA4,PLP1"
"gene_set_query"	"6"	"0.003734"	"EBF2"	"EBF2"	"26"	"299"	"1.134E-17"	"3.04E-15"	"11.24"	"GTEx--Coexpression"	"PROS1,AHR,MPZ,PHLDA3,MXRA8,KANK4,DHH,PLAC9,WNT6,EPB41L2,HSPA12A,NES,LAMC1,ITGA7,ITGA6,EGFL8,MATN2,RBMS3,AHNAK,LAMA2,EGFLAM,SCN7A,LAMB1,PLEKHA4,DLC1,VIM"
"gene_set_query"	"7"	"0.004356"	"FOXD2"	"FOXD2"	"23"	"300"	"1.046E-14"	"2.4E-12"	"9.802"	"GTEx--Coexpression"	"PROS1,ARHGAP39,AHR,MPZ,PHLDA3,MXRA8,KANK4,DHH,WNT6,EPB41L2,HSPA12A,ITGB4,AATK,SECISBP2L,ITGA6,EGFL8,RBMS3,PLEC,AHNAK,PRELP,SCN7A,PLEKHA4,VIM"
"gene_set_query"	"8"	"0.004978"	"FOXE3"	"FOXE3"	"22"	"299"	"8.562E-14"	"1.72E-11"	"9.376"	"GTEx--Coexpression"	"ARHGAP39,MPZ,KANK4,DHH,WNT6,EPB41L2,TRPM3,HSPA12A,IGSF11,ITGB4,AATK,SECISBP2L,SORCS2,ITGA6,PMP2,EGFL8,GAS7,PLEC,AHNAK,RELN,SH3TC2,PLEKHA4"
"gene_set_query"	"9"	"0.0056"	"PLAG1"	"PLAG1"	"21"	"300"	"7.685E-13"	"1.37E-10"	"8.885"	"GTEx--Coexpression"	"ARHGAP39,AHR,MPZ,MXRA8,KANK4,DHH,WNT6,EPB41L2,HSPA12A,COL1A2,TENM3,AATK,SECISBP2L,COL6A3,ITGA6,EGFL8,PLEC,AHNAK,SCN7A,LAMB1,PLEKHA4"
"gene_set_query"	"10"	"0.006223"	"MEOX2"	"MEOX2"	"19"	"299"	"4.471E-11"	"7.18E-9"	"8.01"	"GTEx--Coexpression"	"PROS1,AHR,MPZ,PHLDA3,MXRA8,KANK4,DHH,PLAC9,WNT6,EPB41L2,HSPA12A,RHOA,ITGA6,EGFL8,RBMS3,AHNAK,PLEKHA4,DLC1,VIM"
"gene_set_query"	"11"	"0.006845"	"ELK3"	"ELK3"	"18"	"297"	"2.943E-10"	"3.94E-8"	"7.616"	"GTEx--Coexpression"	"LGALS1,EVA1B,KIRREL1,TPM4,TM4SF1,MXRA8,S100A10,COL1A2,EHD4,COL5A2,LAMC1,ANXA2,ANXA5,MMP14,COL6A3,LMNA,DLC1,RAB13"
"gene_set_query"	"12"	"0.007467"	"PRRX2"	"PRRX2"	"18"	"297"	"2.943E-10"	"3.94E-8"	"7.616"	"GTEx--Coexpression"	"LGALS1,EVA1B,KIRREL1,TPM4,MXRA8,IGFBP7,COL1A2,COL5A2,COL18A1,ANXA2,ANXA5,MMP14,ITGA8,THBS2,LMNA,SOD3,RAB13,VIM"
"gene_set_query"	"13"	"0.00809"	"NR2F2"	"NR2F2"	"18"	"299"	"3.276E-10"	"4.05E-8"	"7.562"	"GTEx--Coexpression"	"AHR,IGFBP5,MXRA8,WNT6,EPB41L2,WWTR1,COL18A1,SIX5,RHOA,ITGA6,EGFL8,MATN2,RBMS3,AHNAK,SCN7A,LAMB2,PLEKHA4,VIM"
